"Year","Date","Season","Species","Mean Density","Seasonal Density Anomaly"
"1987","1987-09-01","fall","CAAU","0.54","0.41"
"1987","1987-09-01","fall","LHSP","0.07","-0.18"
"1987","1987-07-01","summ","COPE","0.04","-0.07"
"1987","1987-07-01","summ","SOSH","11.85","8.81"
"1987","1987-07-01","summ","CAAU","0.05","0.01"
"1987","1987-09-01","fall","SOSH","0.08","-0.11"
"1987","1987-07-01","summ","LHSP","0.28","-0.25"
"1987","1987-09-01","fall","COPE","",""
"1987","1987-04-01","sprg","CAAU","0.17","0.01"
"1987","1987-04-01","sprg","LHSP","0.14","0.02"
"1987","1987-04-01","sprg","SOSH","3.07","2.18"
"1987","1987-04-01","sprg","COPE","0.1","0.02"
"1988","1988-07-01","summ","COPE","0.08","-0.04"
"1988","1988-07-01","summ","CAAU","","-0.05"
"1988","1988-09-01","fall","SOSH","0.19","0.01"
"1988","1988-01-01","wint","CAAU","4.97","4.2"
"1988","1988-01-01","wint","LHSP","0.11","-0.08"
"1988","1988-01-01","wint","SOSH","","-0.01"
"1988","1988-09-01","fall","LHSP","0.19","-0.06"
"1988","1988-07-01","summ","LHSP","0.7","0.17"
"1988","1988-09-01","fall","COPE","0.03","0.02"
"1988","1988-04-01","sprg","LHSP","0.04","-0.07"
"1988","1988-04-01","sprg","COPE","0.01","-0.07"
"1988","1988-04-01","sprg","SOSH","1.2","0.32"
"1988","1988-09-01","fall","CAAU","0.11","-0.02"
"1988","1988-04-01","sprg","CAAU","0.06","-0.1"
"1988","1988-01-01","wint","COPE","",""
"1988","1988-07-01","summ","SOSH","7.91","4.86"
"1989","1989-07-01","summ","CAAU","0.04",""
"1989","1989-09-01","fall","COPE","","-0.01"
"1989","1989-07-01","summ","LHSP","0.53","-0.01"
"1989","1989-09-01","fall","LHSP","0.15","-0.1"
"1989","1989-07-01","summ","SOSH","1.08","-1.96"
"1989","1989-01-01","wint","CAAU","0.19","-0.57"
"1989","1989-01-01","wint","SOSH","","-0.01"
"1989","1989-09-01","fall","SOSH","0.45","0.27"
"1989","1989-01-01","wint","LHSP","0.03","-0.16"
